SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,,,Feedback
375274,A3CZNWMYPM3P6E,3R9WASFE23GF97NDY24FKUXML7SZFJ,559,7/21/22 14:05,7/21/22 14:14,Approved,2.5,0,0.25,43233,,,,
375274,A2YC6PEMIRSOAA,3X87C8JFVABFZKR8HQL1004X5UYQSW,909,7/21/22 14:01,7/21/22 14:16,Approved,2.5,0,0.25,35099,,,,
375274,A2BK9RMC0NOIH8,35GMH2SV3IHB4P9A1I9SME5IP28EOC,1433,7/21/22 14:01,7/21/22 14:25,Approved,2.5,0,0.25,41836,,,,
375274,A2V27A9GZA1NR2,3SBEHTYCWR3ZE8FY3O8H9K1CV5EIY0,1489,7/21/22 14:01,7/21/22 14:25,Approved,2.5,0,0.25,17596,,,,
375274,A12TFFS6M9TOVF,3VNXK88KKGIPZDRQUJFKPSYFUYSV9O,1190,7/21/22 14:07,7/21/22 14:27,Approved,2.5,0,0.25,22054,,,,
375274,A1F6MWP9A0XLJQ,3HHRAGRYXC5U9TITT7T6U047Y50O9K,1042,7/21/22 14:23,7/21/22 14:40,Approved,2.5,0,0.25,91059,,,,
375274,ARFQ8FJRKCUZ6,3STRJBFXO0RU3H6STL6UEJOA87STK4,1573,7/21/22 14:20,7/21/22 14:46,Approved,2.5,0,0.25,34101,,,,
375274,A3F9IQB0297J9D,39GHHAVOMJRFBCLKWZ5A5WC5DJGJ44,710,7/21/22 14:36,7/21/22 14:48,Approved,2.5,0,0.25,79212,,,,
375274,A1KZ0KE93WNN5O,32KTQ2V7RHF69QXHGRET2WF235Q9MV,716,7/21/22 14:40,7/21/22 14:52,Approved,2.5,0,0.25,82016,,,,
375274,A1KWIJXTC47YWE,3N4BPTXIOCS93ULHTQW4JFACRLVKUI,3149,7/21/22 14:07,7/21/22 15:00,Approved,2.5,0,0.25,24066,,,,
375274,A2EAJ7834XI2IT,3VJ40NV2QMNDT8R7RDYNL05JSCETO0,936,7/21/22 15:05,7/21/22 15:20,Approved,2.5,0,0.25,12287,,,,
375274,A34SUZWGLXIWM8,3HMIGG0U4P66P23LU2WQWV7YSASY8T,1235,7/21/22 16:58,7/21/22 17:18,Approved,2.5,0,0.25,95813,,,,
375274,AOIR8V07FYMH5,3JZQSN0I3UAFIQS88AGQZNHGAJNFG3,1391,7/21/22 17:16,7/21/22 17:39,Approved,2.5,0,0.25,36023,,,,
375274,A1XUAXNA6RCLZS,35GMH2SV3IHB4P9A1I9SME5IP4TOEB,469,7/21/22 18:50,7/21/22 18:58,Approved,2.5,0,0.25,37600,,,,
375274,A3C59PV8Q2TV8A,3W8CV64QJ6ZKHCW6PUYGAR76MM2H9B,1977,7/21/22 19:03,7/21/22 19:36,Approved,2.5,0,0.25,50886,,,,
375274,A3IR7DFEKLLLO,3X1FV8S5J1R4ENEY8PLUH9K2YEUGVD,403,7/21/22 20:27,7/21/22 20:33,Approved,2.5,0,0.25,31140,,,,
375274,ATTGD1M94GFR,3TU5ZICBRH1XG0CZ3SFWJ94WT39Q8K,1181,7/21/22 21:18,7/21/22 21:38,Approved,2.5,0,0.25,18659,,,,
375274,A1QCXSZJ3ZLCNY,3KGTPGBS61LEMEHR4KQ0JJOIAVG2U5,1784,7/22/22 19:11,7/22/22 19:41,Approved,2.5,0,0.25,31621,,,,
375274,A2IQ0QCTQ3KWLT,324G5B4FB785ST2HCPTBQ3HJ5U107Z,526,7/24/22 10:44,7/24/22 10:53,Approved,2.5,0,0.25,21197,,,,
375274,A2YLK83DQ6PA5Y,3GFK2QRXXDHJDFPJH37ZZECRG5X5WS,2785,7/25/22 16:50,7/25/22 17:36,Approved,2.5,0,0.25,61542,,,,
375274,AUZXHSWDT1PYQ,3LEIZ60CDNZ68XW0VG4NAYBBJ379Z0,1779,7/25/22 18:02,7/25/22 18:31,Approved,2.5,0,0.25,70640,,,,
