"","survey_id","id","assignment_id","duration_in_seconds","start_time","completion_time","approval_status","amount_paid","amount_bonused","estimated_cloud_research_fee","actual_completion_code","v12","v13","v14","feedback","batch"
"1",372355,"A1SX8IVV82M0LW","39GAF6DQWV07A8OVQ60RAMGWU7F1V0",254,"7/14/22 20:16","7/14/22 20:21","Approved",2.5,0,0.2482,"24869",NA,NA,NA,NA,"con1"
"2",372355,"A7SXWHGK8B40R","308Q0PEVBCDKD77QVCG1A38LKH79IK",285,"7/14/22 20:17","7/14/22 20:21","Approved",2.5,0,0.2482,"53651",NA,NA,NA,NA,"con1"
"3",372355,"AFO9MCOXXSYY7","3PH3VY7DJPXHKT98OREFOIJMEVUZWX",349,"7/14/22 20:17","7/14/22 20:23","Approved",2.5,0,0.2482,"44430",NA,NA,NA,NA,"con1"
"4",372355,"AS1KP4SMNONQC","3RWE2M8QWLAUVEU4SWA0M0393C7N02",393,"7/14/22 20:17","7/14/22 20:24","Approved",2.5,0,0.2482,"43740",NA,NA,NA,NA,"con1"
"5",372355,"AD1ILDUXZHASF","3TAYZSBPLP8Y71PNFFV04I6UN902SE",274,"7/14/22 20:19","7/14/22 20:24","Approved",2.5,0,0.2482,"21875",NA,NA,NA,NA,"con1"
"6",372355,"A3SZ5EYLO5ZQ2D","3X65QVEQI4NO16MZSZN5491L764LCR",448,"7/14/22 20:17","7/14/22 20:25","Approved",2.5,0,0.2482,"33509",NA,NA,NA,NA,"con1"
"7",372355,"A5P12YJP805RG","37C0GNLMHJ3GNDP65RCEZW162BR6D4",562,"7/14/22 20:16","7/14/22 20:25","Approved",2.5,0,0.2482,"92579",NA,NA,NA,NA,"con1"
"8",372355,"A104OJ913SFB2V","3FTF2T8WLVI2E2RVKTKGBUHTZS59WR",559,"7/14/22 20:16","7/14/22 20:25","Approved",2.5,0,0.2482,"51754",NA,NA,NA,NA,"con1"
"9",372355,"A1WZY0K6IE3ASG","3WR9XG3T67BMRHKIVQGD267WK9I47O",621,"7/14/22 20:16","7/14/22 20:26","Approved",2.5,0,0.2482,"59595",NA,NA,NA,NA,"con1"
"10",372355,"A23KAJRDVCVGOE","3S3AMIZX3Y553UY7FIPHLWTGYX2CD2",561,"7/14/22 20:17","7/14/22 20:26","Approved",2.5,0,0.2482,"69820",NA,NA,NA,NA,"con1"
"11",372355,"A2DLYBXZNSSJ4S","3X73LLYYQ5E56E00Q4HLSS2QPT9HNY",611,"7/14/22 20:17","7/14/22 20:27","Approved",2.5,0,0.2482,"24912",NA,NA,NA,NA,"con1"
"12",372355,"A23YQ8J1DNM084","3OUYGIZWRBYUYZ6H8BNSQP843R8P00",653,"7/14/22 20:16","7/14/22 20:27","Approved",2.5,0,0.2482,"87618",NA,NA,NA,NA,"con1"
"13",372355,"A3V2XCDF45VN9X","3SBEHTYCWR3ZE8FY3O8H9K1CTQSIYI",711,"7/14/22 20:16","7/14/22 20:27","Approved",2.5,0,0.2482,"89347",NA,NA,NA,NA,"con1"
"14",372355,"A2Z0DI2L5GV87Y","31LVTDXBLBAS78BIAWD0T407777LRX",695,"7/14/22 20:16","7/14/22 20:28","Approved",2.5,0,0.2482,"73044",NA,NA,NA,NA,"con1"
"15",372355,"A2EH7IQCDH2Q5D","3QILPRALQ9VCD3Z7N0NFFF9RMAJN8P",617,"7/14/22 20:17","7/14/22 20:28","Approved",2.5,0,0.2482,"66790",NA,NA,NA,NA,"con1"
"16",372355,"A2BEH9YQPHKP6A","3WS1NTTKE2CI7MHNU8RNEVU01LLF0N",708,"7/14/22 20:16","7/14/22 20:28","Approved",2.5,0,0.2482,"84143",NA,NA,NA,NA,"con1"
